ID	Age	Gender	Year	Major	StudyHours	SleepHours	ScreenTime	Satisfaction	Stress	StudyFormat	ExamScore	Assignments	Absences	Projects	Motivation	SocialHours	Semester
226	18	F	1	Computer Science	13	8.0	4.4	9	4	Offline	90	15	3	1	9	4	1
227	20	M	2	Psychology	9	6.5	6.2	7	7	Online	73	10	6	4	6	7	2
228	23	F	4	Economics	12	7.5	5.0	8	6	Offline	88	14	4	2	8	6	2
229	21	M	3	Computer Science	5	6.0	7.6	6	8	Online	64	7	8	6	5	8	3
230	19	F	1	Psychology	16	8.5	3.1	9	3	Offline	98	19	1	1	9	3	1
231	22	M	4	Economics	10	7.0	5.8	8	6	Offline	80	11	5	3	7	6	2
232	20	F	2	Computer Science	7	6.5	7.0	7	8	Online	69	9	7	5	5	8	3
233	24	M	4	Psychology	6	5.5	8.2	5	9	Online	56	6	9	7	3	9	4
234	18	F	1	Economics	9	7.5	5.6	8	5	Offline	81	11	5	3	8	5	2
235	21	M	3	Computer Science	12	7.5	4.7	8	5	Offline	87	13	3	2	8	5	1
236	23	F	4	Psychology	8	7.0	6.5	7	7	Online	76	10	6	4	6	7	3
237	19	M	1	Economics	13	8.0	4.1	9	4	Offline	94	16	2	1	9	4	1
238	22	F	4	Computer Science	5	6.0	7.8	6	8	Online	62	7	8	6	4	8	4
239	20	M	2	Psychology	11	7.5	5.2	8	6	Offline	84	12	4	3	8	6	2
240	21	F	3	Economics	7	6.5	6.7	7	7	Online	70	9	7	5	5	7	3
241	24	M	4	Computer Science	9	6.0	7.3	6	8	Online	65	8	7	6	5	8	3
242	18	F	1	Psychology	14	8.5	3.6	9	3	Offline	96	17	2	1	9	3	1
243	23	M	4	Economics	6	5.5	8.0	5	9	Online	59	6	9	7	4	9	4
244	20	F	2	Computer Science	10	7.0	5.9	8	6	Offline	86	12	5	3	8	6	2
245	22	M	3	Psychology	8	7.5	6.3	7	7	Online	74	10	6	4	6	7	3
246	19	F	1	Economics	12	7.0	4.8	8	5	Offline	85	13	3	2	8	6	1
247	22	M	2	Psychology	10	6.5	5.9	7	6	Online	72	11	5	3	6	7	2
248	21	F	3	Computer Science	14	8.0	4.1	9	4	Offline	94	16	2	1	9	5	1
249	20	M	4	Economics	7	5.5	7.5	6	8	Online	65	8	8	5	5	8	3
250	23	F	4	Psychology	9	7.5	5.4	8	6	Offline	83	12	4	2	8	6	2
251	18	M	1	Computer Science	11	8.0	4.3	8	5	Offline	88	14	3	2	7	5	1
252	21	F	2	Economics	6	6.0	7.8	6	8	Online	63	7	8	6	5	8	4
253	24	M	4	Psychology	13	6.5	5.0	7	7	Online	78	12	5	4	6	8	3
254	19	F	1	Computer Science	15	8.5	3.7	9	3	Offline	96	18	2	1	9	4	1
255	22	M	3	Economics	9	7.0	6.2	7	7	Offline	76	10	5	3	7	7	2
256	20	F	2	Psychology	8	7.5	6.0	7	6	Online	74	10	6	4	6	7	3
257	23	M	4	Computer Science	5	5.5	8.3	5	9	Online	55	6	10	7	4	9	4
258	21	F	3	Economics	13	8.0	4.6	9	4	Offline	92	15	2	1	9	4	1
259	18	M	1	Psychology	10	7.0	5.5	8	5	Offline	80	11	4	3	7	6	2
260	22	F	4	Computer Science	7	6.0	7.1	6	8	Online	67	8	7	5	5	8	3
261	19	M	1	Economics	14	8.5	3.4	9	3	Offline	95	17	1	1	9	4	1
262	20	F	2	Psychology	11	7.0	5.8	8	6	Offline	86	13	4	2	8	6	2
263	24	M	4	Computer Science	8	6.0	7.0	6	8	Online	68	9	7	5	5	8	3
264	21	F	3	Economics	10	7.5	5.2	8	5	Offline	84	12	4	3	8	6	2
265	23	M	4	Psychology	6	5.5	8.0	5	9	Online	60	7	9	7	4	9	4
266	18	F	1	Computer Science	12	8.0	4.0	9	4	Offline	91	15	2	1	9	4	1
267	22	M	3	Economics	11	7.0	5.7	8	6	Offline	82	12	4	3	7	6	2
268	20	F	2	Psychology	7	6.5	6.9	7	7	Online	71	9	7	5	6	8	3
269	19	M	1	Computer Science	9	7.5	5.1	8	5	Offline	85	11	4	2	8	5	1
270	23	F	4	Economics	5	6.0	8.0	5	9	Online	57	6	9	7	4	9	4
271	21	M	2	Psychology	15	8.5	3.3	9	3	Offline	97	18	1	1	9	4	1
272	24	F	4	Computer Science	6	5.5	7.6	6	8	Online	64	7	8	6	5	8	4
273	20	M	2	Economics	8	6.5	6.4	7	7	Online	73	9	6	4	6	7	3
274	18	F	1	Psychology	13	8.0	4.5	9	4	Offline	90	15	3	1	9	4	1
275	22	M	4	Computer Science	10	6.0	6.7	7	8	Online	69	10	7	5	5	8	3
276	21	F	3	Economics	7	7.0	6.0	7	6	Offline	78	9	5	3	7	6	2
277	19	M	1	Psychology	12	7.5	4.7	8	5	Offline	87	14	3	2	8	5	1
278	23	F	4	Computer Science	9	6.5	7.3	6	8	Online	66	9	7	6	5	8	3
279	20	M	2	Economics	13	8.0	4.0	9	4	Offline	93	16	2	1	9	4	1
280	22	F	3	Psychology	6	6.0	7.7	6	8	Online	62	7	8	6	4	8	4
281	24	M	4	Economics	10	7.5	5.6	8	6	Offline	81	11	4	3	7	6	2
282	18	F	1	Computer Science	8	7.0	6.5	7	7	Online	70	9	6	4	6	7	3
283	21	M	3	Psychology	14	8.0	3.8	9	3	Offline	94	17	2	1	9	4	1
284	23	F	4	Economics	9	6.5	7.0	7	8	Online	68	9	7	5	5	8	3
285	19	M	1	Computer Science	7	7.5	6.1	7	6	Offline	79	10	5	3	7	6	2
286	20	F	2	Psychology	11	8.5	4.4	8	4	Offline	89	14	2	1	8	5	1
287	22	M	3	Economics	6	6.0	8.1	5	9	Online	58	6	9	7	4	9	4
288	21	F	3	Computer Science	13	7.5	4.9	8	5	Offline	88	14	3	2	8	5	1
289	24	M	4	Psychology	8	5.5	7.8	6	8	Online	67	8	8	6	5	8	4
290	18	F	1	Economics	15	8.0	3.6	9	3	Offline	96	18	1	1	9	4	1
